WeekOfMonth,WeekOfMonthClaimed,Age,FraudFound_P,PolicyNumber,RepNumber,Deductible,DriverRating,Year,Month,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,BasePolicy
5,1,21,0,1,12,300,1,1994,11,2,6,1,1,0,0,0,0,5,1,5,4,3,0,2,3,1,0,1,0,1,2,2
3,4,34,0,2,15,400,4,1994,0,2,6,1,0,0,1,0,0,4,1,5,4,3,0,5,4,0,0,1,0,0,0,1
5,2,47,0,3,7,400,3,1994,9,4,6,1,3,10,1,1,0,4,1,5,4,3,1,6,6,1,0,1,0,0,0,1
2,1,65,0,4,4,400,2,1994,6,5,17,0,4,6,1,1,1,2,1,1,4,3,1,7,7,0,0,1,3,0,0,2
5,2,27,0,5,3,400,1,1994,0,0,6,1,1,1,0,0,1,4,1,5,4,3,0,4,4,1,0,1,0,0,0,1
4,1,20,0,6,12,400,3,1994,9,4,6,1,2,10,1,0,1,4,1,5,4,3,0,4,2,1,0,1,2,0,0,1
1,3,36,0,7,14,400,1,1994,1,5,6,1,0,1,1,1,1,4,1,5,4,3,1,6,5,1,0,1,1,0,0,1
1,4,0,0,8,1,400,4,1994,10,4,6,1,1,2,1,0,0,4,1,5,4,3,1,0,0,1,0,1,0,0,0,1
4,5,30,0,9,7,400,4,1994,11,5,6,1,2,11,1,0,0,4,1,5,4,3,0,5,4,1,1,1,2,0,0,1
3,3,42,0,10,7,400,1,1994,3,1,5,1,2,3,1,1,0,6,2,5,4,3,2,7,5,1,0,1,2,0,0,0
2,3,71,0,11,7,400,3,1994,2,6,9,1,2,2,1,0,0,1,0,5,4,3,0,7,8,1,0,1,0,0,0,0
5,5,52,0,12,13,400,1,1994,2,0,6,1,0,2,1,1,0,2,1,1,4,3,2,7,6,1,0,1,0,0,0,2
3,3,28,0,13,11,400,1,1994,0,4,5,1,4,0,1,1,0,2,1,5,4,3,1,6,4,1,0,1,0,0,0,2
5,1,0,0,14,12,400,3,1994,0,4,6,0,2,1,1,0,1,0,0,5,4,3,0,0,0,1,0,1,0,0,0,1
5,1,61,0,15,3,400,1,1994,0,0,5,1,3,1,1,1,0,2,1,5,4,3,0,7,7,1,0,1,0,0,0,2
4,5,38,0,16,16,400,1,1994,7,1,5,1,0,7,1,0,0,2,1,5,4,3,0,5,5,1,0,1,0,0,0,2
4,1,41,0,17,15,400,4,1994,3,3,5,1,2,4,1,1,0,1,0,5,4,3,0,6,5,1,0,1,0,0,0,0
5,1,28,0,18,6,400,1,1994,5,6,2,1,2,7,0,1,1,0,0,1,4,3,0,6,4,1,0,1,1,0,0,1
4,5,32,0,19,6,400,1,1994,4,3,13,1,0,4,1,0,0,2,1,1,4,3,1,6,4,1,0,1,0,0,0,2
4,1,30,0,20,2,400,2,1994,3,0,6,1,1,4,1,1,1,2,1,5,4,3,2,5,4,1,0,1,3,0,0,2
2,1,40,0,21,3,400,1,1994,3,4,9,1,1,4,1,1,0,2,1,1,4,3,1,7,5,1,0,1,3,0,0,2
2,2,47,0,22,13,400,2,1994,0,5,2,1,0,0,1,1,0,0,0,1,4,3,1,7,6,1,0,1,0,3,1,1
3,5,63,0,23,8,400,3,1994,7,6,9,1,3,7,1,1,0,2,1,1,4,3,1,7,7,1,0,1,1,0,0,2
